date,recovered_cases,cumulative_recovered
2020/9/9,2206,569935
2020/9/10,3068,573003
2020/9/11,1584,574587
2020/9/12,1836,576423
2020/9/13,1483,577906
2020/9/14,1383,579289
2020/9/15,3837,583126
2020/9/16,1069,584195
2020/9/17,1108,585303
2020/9/18,1541,586844
2020/9/19,2590,589434
2020/9/20,637,590071
2020/9/21,1137,591208
2020/9/22,1696,592904
2020/9/23,1325,594229
2020/9/24,1687,595916
2020/9/25,3233,599149
2020/9/26,2669,601818
2020/9/27,1903,603721
2020/9/28,757,604478
2020/9/29,2042,606520
2020/9/30,1592,608112
2020/10/1,1472,609584
2020/10/2,1460,611044
2020/10/3,1719,612763
2020/10/4,2018,614781
2020/10/5,903,615684
2020/10/6,1173,616857
2020/10/7,1270,618127
2020/10/8,644,618771
2020/10/9,1310,620081
2020/10/10,2072,622153
2020/10/11,1612,623765
2020/10/12,894,624659
2020/10/13,915,625574
2020/10/14,1324,626898
2020/10/15,1403,628301
2020/10/16,959,629260
2020/10/17,1176,630436
2020/10/18,4107,634543
2020/10/19,714,635257
2020/10/20,4311,639568
2020/10/21,2138,641706
2020/10/22,854,642560
2020/10/23,963,643523
2020/10/24,1118,644641
2020/10/25,1529,646170
2020/10/26,551,646721
2020/10/27,1112,647833
2020/10/28,821,648654
2020/10/29,1281,649935
2020/10/30,3117,653052
2020/10/31,1130,654182
2020/11/1,1148,655330
2020/11/2,2170,657500
2020/11/3,1759,659259
2020/11/4,926,660185
2020/11/5,11394,671579
2020/11/6,4014,675593
2020/11/7,3145,678738
2020/11/8,950,679688
2020/11/9,1038,680726
2020/11/10,2468,683194
2020/11/11,3264,686458
2020/11/12,4445,690903
2020/11/13,1274,692177
2020/11/14,1084,693261
2020/11/15,206,693467
2020/11/16,2029,695496
2020/11/17,1324,696820
2020/11/18,4714,701534
2020/11/19,1010,702544
2020/11/20,4496,707040
2020/11/21,744,707784
2020/11/22,2315,710099
2020/11/23,1096,711195
2020/11/24,5249,716444
2020/11/25,0,716444
2020/11/26,0,716444
2020/11/27,6432,722876
2020/11/28,471,723347
2020/11/29,7286,730633
2020/11/30,609,731242
2020/12/1,1289,732531
2020/12/2,1774,734305
2020/12/3,5062,739367
2020/12/4,1083,740450
2020/12/5,3848,744298
2020/12/6,482,744780
2020/12/7,970,745750
2020/12/8,7322,753072
2020/12/9,1586,754658
2020/12/10,2013,756671
2020/12/11,1702,758373
2020/12/12,1745,760118
2020/12/13,893,761011
2020/12/14,1735,762746
2020/12/15,2231,764977
2020/12/16,9608,774585
2020/12/17,5728,780313
2020/12/18,3505,783818
2020/12/19,3964,787782
2020/12/20,6132,793914
2020/12/21,2432,796346
2020/12/22,11895,808241
2020/12/23,3131,811372
2020/12/24,11606,822978
2020/12/25,7273,830251
2020/12/26,8943,839194
2020/12/27,5680,844874
2020/12/28,5100,849974
2020/12/29,8482,858456
2020/12/30,9141,867597
2020/12/31,12074,879671
2021/1/1,8030,887701
2021/1/2,10003,897704
2021/1/3,5975,903679
2021/1/4,7894,911573
2021/1/5,9306,920879
2021/1/6,8360,929239
2021/1/7,8977,938216
2021/1/8,9703,947919
2021/1/9,8793,956712
2021/1/10,9656,966368
2021/1/11,6897,973265
2021/1/12,45858,1019123
2021/1/13,11807,1030930
2021/1/14,18810,1049740
2021/1/15,12950,1062690
2021/1/16,21288,1083978
2021/1/17,14463,1098441
2021/1/18,19011,1117452
2021/1/19,27405,1144857
2021/1/20,15555,1160412
2021/1/21,23031,1183443
2021/1/22,17841,1201284
2021/1/23,16208,1217492
2021/1/24,13028,1230520
2021/1/25,10901,1241421
2021/1/26,13253,1254674
2021/1/27,8802,1263476
2021/1/28,8721,1272197
2021/1/29,12584,1284781
2021/1/30,8140,1292921
2021/1/31,6699,1299620
2021/2/1,6402,1306022
2021/2/2,12482,1318504
2021/2/3,5176,1323680
2021/2/4,3506,1327186
2021/2/5,8432,1335618
2021/2/6,4879,1340497
2021/2/7,19707,1360204
2021/2/8,3743,1363947
2021/2/9,3300,1367247
2021/2/10,7121,1374368
2021/2/11,3612,1377980
2021/2/12,5646,1383626
2021/2/13,2370,1385996
2021/2/14,2325,1388321
2021/2/15,2834,1391155
2021/2/16,5796,1396951
2021/2/17,2878,1399829
2021/2/18,3385,1403214
2021/2/19,3693,1406907
2021/2/20,2646,1409553
2021/2/21,2462,1412015
2021/2/22,1551,1413566
2021/2/23,5893,1419459
2021/2/24,3163,1422622
2021/2/25,1779,1424401
2021/2/26,2016,1426417
2021/2/27,2630,1429047
2021/2/28,1212,1430259
2021/3/1,1077,1431336
2021/3/2,1984,1433320
2021/3/3,1452,1434772
2021/3/4,1238,1436010
2021/3/5,1040,1437050
2021/3/6,2465,1439515
2021/3/7,1359,1440874
2021/3/8,1171,1442045
2021/3/9,2237,1444282
2021/3/10,1697,1445979
2021/3/11,1524,1447503
2021/3/12,2151,1449654
2021/3/13,3334,1452988
2021/3/14,1302,1454290
2021/3/15,1035,1455325
2021/3/16,2676,1458001
2021/3/17,1055,1459056
2021/3/18,838,1459894
2021/3/19,1302,1461196
2021/3/20,914,1462110
2021/3/21,979,1463089
2021/3/22,864,1463953
2021/3/23,1251,1465204
2021/3/24,1391,1466595
2021/3/25,659,1467254
2021/3/26,2311,1469565
2021/3/27,1599,1471164
2021/3/28,735,1471899
2021/3/29,746,1472645
2021/3/30,943,1473588
2021/3/31,731,1474319
2021/4/1,507,1474826
2021/4/2,572,1475398
