date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021/6/25,76341044,44080358,32260686
2021/6/26,76774990,44314799,32460191
2021/6/27,77038257,44454511,32583746
2021/6/28,77303533,44581771,32721762
2021/6/29,77592212,44719762,32872450
2021/6/30,77909177,44860978,33048199
2021/7/1,78254768,45013503,33241265
2021/7/2,78555851,45137108,33418743
2021/7/3,78889449,45274497,33614952
2021/7/4,79078081,45351719,33726362
2021/7/5,79302857,45428681,33874176
2021/7/6,79541794,45514492,34027302
2021/7/7,79800224,45601445,34198779
2021/7/8,80072121,45697875,34374246
2021/7/9,80341023,45787958,34553065
2021/7/10,80646232,45881721,34764511
2021/7/11,80795852,45923721,34872131
2021/7/12,80975508,45978017,34997491
2021/7/13,81192857,46037090,35155767
2021/7/14,81438892,46097464,35341428
2021/7/15,81702466,46159145,35543321
2021/7/16,81974271,46228636,35745635
2021/7/17,82266702,46295853,35970849
2021/7/18,82413766,46314039,36099727
2021/7/19,82592996,46349709,36243287
2021/7/20,82793310,46388744,36404566
2021/7/21,83021749,46433845,36587904
2021/7/22,83254082,46477881,36776201
2021/7/23,83473689,46519998,36953691
2021/7/24,83724111,46563452,37160659
