date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021/6/22,319223844,177635067,150424675
2021/6/23,319872053,177948892,150787303
2021/6/24,320687205,178331677,151252034
2021/6/25,321199379,178491147,151615554
2021/6/26,322123103,178873816,152184243
2021/6/27,323327328,179261269,153028665
2021/6/28,324414371,179615165,153776118
2021/6/29,325152847,179940202,154199664
2021/6/30,326521526,180674739,154884686
2021/7/1,328152304,181339416,155884601
2021/7/2,328809470,181650678,156255896
2021/7/3,329970551,182109860,156982549
2021/7/4,330604253,182412776,157323738
2021/7/6,331214347,182714064,157636088
2021/7/7,331651464,182896080,157908171
2021/7/8,332345797,183237046,158287566
2021/7/9,332966409,183542871,158629431
2021/7/10,333565404,183836917,158954417
2021/7/11,334151648,184132768,159266536
2021/7/12,334600770,184365333,159499224
2021/7/13,334942236,184543821,159675163
2021/7/14,335487779,184835149,160126516
2021/7/15,336054953,185135757,160408538
2021/7/16,336604158,185424899,160686378
2021/7/17,337239448,185765452,160994035
2021/7/18,337740358,186038501,161232483
2021/7/19,338247434,186317651,161473715
2021/7/20,338491374,186474836,161631676
2021/7/21,339102867,186819440,161895045
2021/7/22,339763765,187216168,162174165
2021/7/23,340363922,187579557,162435276
2021/7/24,341039972,187982826,162725812
2021/7/25,341818968,188472188,163025726
